se gâter	to worsen
geindre	to wail/whine
geler	to freeze
regeler	to freeze again
gêner	to bother/unsettle/get in the way
se gêner	to be in each other's way
gérer	to manage/deal with [sth]
goûter à	to try
se grandir	to make yourself taller/do yourself credit
se gratter	to scratch
se gratter [qch]	to scratch your [sth]
grêler	to cause hail damage to [sth]
grimper	to climb/be hilly/go up
grimper à [qch]	to climb
grimper sur [qch]	to climb on [sth]
grimper [qch]	to climb
gronder	to rumble/scold
guérir [qqn]	to make [sb] better
guérir [qqn] de [qch]	to cure [sb] of [sth]/rid [sb] of his/her/their [sth]
guérir de [qch]	to recover from [sth]
se guérir	to recover from [sth]
habiller	to dress/buy clothes for [sb]/coat/make clothes for [sb]
s'habiller	to dress/buy your clothes from [sb]
s'habiller en [qch]	to dress up as [sth]
habiter	to live
haïr	to hate
se haïr	to hate each other/hate yourself
hésiter	to hesitate
hésiter à faire [qch]	to hesitate over doing [sth]
hésiter entre [qch] et [qch]	to waver between [sth] and [sth]
hoqueter	to hiccup/sob/jolt
ignorer	to not know/ignore
imposer [qch]	to impose
imposer	to urge/tax
s'imposer	to be bold/impose yourself/be vital/be obvious
en imposer à [qqn]	to impress
inclure	to cover
indiquer	to indicate/be a sign of [sth]
induire [qch]	to deduce
induire à faire [qch]	to lead [sb] to do [sth]
induire	to lead to
informer [qqn] de [qch]	to let [sb] know [sth]
informer [qqn] que [qch]...	to let [sb] know
informer [qqn]	to inform
inquiéter	to worry/bother/investigate
s'inquiéter	to fret
s'inquiéter de [qch]	to worry about [sth]
s'inquiéter de faire [qch]	to wonder [sth]
inscrire	to write/draw/sign [sb] up
s'inscrire à [qch]	to sign up for [sth]
s'inscrire sur [qch]	to join
s'inscrire dans [qch]	to be part of [sth]/join/fit in with [sth]
insister sur	to insist on/concentrate on
insister	to insist
instruire	to inform
s'instruire	to learn
s'instruire de	to learn about
interdire [qch]	to ban
interdire [qch] à [qqn]	to deny [sb] [sth]
interdire	to stop [sb] doing [sth]
s'interdire [qch]	to abstain from [sth]
s'interdire de faire [qch]	to renounce
intéresser	to interest/affect
intéresser [qqn] à [qch]	to get [sb] interested in [sth]/give [sb] a stake in [sth]
s'intéresser à [qch]	to be interested in [sth]
s'intéresser à [qqn]	to be interested in [sb]
interroger	to ask [sb] questions/test/check
s'interroger	to wonder/ponder
interrompre	to interrupt/stop/suspend
s'interrompre	to stop
intervenir	to act/occur/speak/intercede/perform
introduire	to put/add
s'introduire	to get into/gain entry
inventer	to invent/come up with
s'inventer	to make up
s'inventer [qch]	to invent
inviter [qqn] à [qch]	to encourage
inviter [qqn]	to be [sb]'s treat
inviter à [qch]	to be inviting
s'inviter	to show up
jaillir	to spring up
jaser	to babble/gossip
jaser sur	to gossip about
jaunir	to yellow
jeter	to pitch/throw/cast
se jeter	to hurl yourself
se jeter sur/dans [qch]	to throw yourself onto [sth]
se jeter contre [qch]	to hit
joindre	to add
jouer	to play/compete/gamble/be loose/feign
jouer à [qch]	to be
jouer de [qch]	to play the [sth]/exploit
jouer [qch]	to risk/play in [sth]/play for [sth]/gamble/bet on [sth]
jouer avec [qch]	to take risks with
se jouer	to be played/be performed/play out/be decided
se jouer de [qch]	to defy
jouer [qqn]	to play
jouer sur [qch]	to exploit
jouir	to orgasm
jouir de	to enjoy
juger	to judge/pass judgment/consider/settle
en juger par	to judging by [sth]
se juger	to think yourself
juger de	to imagine
jurer	to swear/clash
se jurer	to vow
jurer par	to swear by
kidnapper	to kidnap
klaxonner	to beep
klaxonner [qqn]	to beep
lâcher	to give/drop/let [sth] down
se lâcher	to relax
laisser	to leave/give/drop off
laisser [qch] à [qqn]	to leave [sth] to [sb]
laisser [qqn]	to must go
lancer [qch]	to start/launch
se lancer	to try/start/leap/make a name for yourself
se lancer dans [qch]	to take [sth] up/launch into [sth]
lancer [qqn]	to launch
laver	to wash
se laver	to wash
se laver [qch]	to wash
lever	to raise/lift/start
se lever	to rise/get up/go up/pick up
se lire	to be read/be a + [adj] read/be seen
lire [qch]	to read
loger	to let [sb] stay/sleep/fit/put/pack
se loger	to find accommodation/lodge
louer [qch]	to rent
se louer	to rent
se louer de faire [qch]	to be proud of yourself for doing [sth]
luire	to glow
maigrir	to make [sb] look thinner
maintenir	to keep/go ahead with [sth]/maintain
maintenir que	to insist
se maintenir	to stay/keep on
manger	to eat/mumble
se manger	to be eaten
manquer [qch]	to miss/fail at [sth]
manquer	to be lacking
manquer de [qch]	to lack
manquer faire [qch]	to almost do [sth]
manquer à [qch]	to fail to keep [sth]
marcher	to go
marcher dans [qch]	to step in [sth]
marcher à [qch]	to run on [sth]
maudire	to curse
méconnaître	to be unaware of
médire de	to malign
se méfier de	to be wary of
se méfier	to take care
mélanger	to mix/confuse/mingle
se mélanger	to mix
menacer [qqn]	to menace/jeopardize
mener	to lead/run/conduct/take
mentir	to lie/be deceptive
se mentir	to fool yourself
mépriser	to scorn
mériter	to merit/earn
se mériter	to must be earned
mesurer	to be X by X by X (in dimension/in size)/measure/limit
se mesurer	to measure yourself
se mesurer à	to tackle
mettre [qch]	to put/slip into [sth]/spend [sth] on [sth]/say
mettre [qqn]	to put
mettre	to include
se mettre à faire [qch]	to start to do [sth]
se mettre	to wear
se mettre quelque part	to sit
modérer	to curb
se modérer	to restrain yourself/ease
monter	to climb/go up/rise/reach/take [sth] up/lift/increase/put [sth] up/set [sth] up/mount/ride/edit
monter à [qch]	to climb
monter sur [qch]	to climb on [sth]/mount
se monter	to be assembled
montrer [qch]	to show [sb] [sth]
montrer	to point out/show/bring to light/make visible
se montrer	to be seen
se montrer + [adj]	to show + [noun]
se moquer de [qqn]	to tease/make a fool of [sb]
se moquer de [qch]	to not care about [sth]
mordre	to bite/go over/sting
moudre	to mill
mouiller	to soak everything/dampen/moor/add
se mouiller	to get wet
mourir	to die/wane
nager	to swim/float
naître	to be born/emerge/arise
naître de [qqn]	to be born to [sb]
naviguer	to sail/navigate
négliger	to forget/be careless about/ignore
se négliger	to let yourself go
négocier [qch]	to trade/broker/haggle over [sth]
se négocier	to sell
se négocier [qch]	to manage to get [sth]
neiger	to snow
nettoyer	to clean
neutraliser	to neutralize
se neutraliser	to cancel each other out
nier	to deny/refute
noircir	to darken/make [sb] darker
nommer [qch]	to name
nommer [qqn]	to name
se nommer	to be called
noter	to mark
noter [qch]	to represent
nouer	to tie/form
se nouer	to build
nourrir	to feed/provide for [sb]
se nourrir	to eat
se nourrir de [qch]	to eat
noyer	to drown
se noyer	to drown
nuire à	to harm/be detrimental to [sth]
obéir à [qch]	to obey
obéir	to do as you are told
obtenir	to get/end up with [sth]
occlure	to occlude/contain
occuper	to fill/busy yourself with [sth]/keep [sb] busy/be the main industry/take over/live in [sth]
s'occuper de [qch]	to see to [sth]/care for [sb]/work with [sth]
s'occuper de faire [qch]	to deal with [sth]
s'occuper de [qqn]	to look after [sb]
